CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
180000;Man;IC;25;17;20;Master's
55000;Man;IC;5;18;3;Bachelor's
77000;Man;IC;6;19;2;Bachelor's
67017;Man;IC;4;20;1;Bachelor's
90000;Man;IC;6;26;4;Less than bachelor's
58000;Man;IC;16;14;4;Bachelor's
180000;Man;Manager;40;12;38;Master's
104000;Man;IC;19;13;12;Less than bachelor's
86250;Man;IC;9;16;5;Bachelor's
167000;Man;IC;11;19;8;Bachelor's
155000;Man;Manager;7;16;6;Bachelor's
45000;Man;IC;7;16;1;Bachelor's
275000;Man;Manager;25;8;16;Bachelor's
150000;Man;IC;2;33;2;Bachelor's
180000;Man;IC;20;12;13;Bachelor's
160000;Man;Manager;15;16;14;Bachelor's
185000;Man;IC;15;18;11;Bachelor's
135000;Man;IC;18;17;12;Bachelor's
55000;Man;IC;15;9;12;Less than bachelor's
115000;Man;IC;9;26;6;Master's
192000;Man;IC;37;20;30;Bachelor's
115000;Man;IC;20;12;20;Bachelor's
140000;Woman;IC;15;15;9;Bachelor's
150000;Man;IC;19;13;16;Bachelor's
64500;Woman;IC;6;17;Less than 1 year;Bachelor's
55000;Man;IC;6;12;1;Bachelor's
115000;Man;IC;19;5;15;Less than bachelor's
65000;Man;IC;7;15;3;Less than bachelor's
100000;Woman;IC;4;15;4;Bachelor's
110000;Man;IC;20;8;9;Less than bachelor's
100000;Man;IC;15;10;10;Bachelor's
80000;Man;IC;8;10;2;Master's
52500;Man;IC;4;11;1;Bachelor's
147000;Man;IC;6;18;2;Bachelor's
72000;Man;IC;11;11;3;Bachelor's
190000;Woman;IC;5;20;2;Bachelor's
132000;Man;Manager;5;12;4;Bachelor's
175000;Man;IC;2;12;Less than 1 year;Bachelor's
180000;Man;IC;25;7;15;Less than bachelor's
130000;Man;IC;12;14;7;Bachelor's
67000;Man;IC;11;30;7;Bachelor's
110000;Man;IC;21;22;20;Less than bachelor's
180000;Man;IC;6;16;1;Bachelor's
76000;Man;IC;16;12;7;Bachelor's
125000;Man;IC;5;17;4;Bachelor's
320000;Man;IC;20;10;8;Bachelor's
200000;Man;IC;18;15;18;Master's
95000;Man;IC;13;12;11;Bachelor's
83200;Man;IC;14;14;6;Bachelor's
90000;Man;IC;16;19;10;Bachelor's
82000;Woman;IC;9;17;8;Bachelor's
260000;Man;IC;26;13;21;Master's
85000;Man;IC;4;25;Less than 1 year;Bachelor's
120000;Man;IC;15;5;6;Less than bachelor's
140000;Man;IC;4;25;2;Master's
266000;Man;IC;14;10;12;Bachelor's
73445;Man;IC;8;16;4;Bachelor's
100000;Woman;IC;3;17;1;Bachelor's
125000;Man;IC;14;17;6;Bachelor's
89468;Man;IC;14;15;8;Bachelor's
95000;Man;IC;11;26;7;Bachelor's
